svn库工程
菜鸟空间app工程RookiePalmSpaceApp
菜鸟空间app服务端工程appserver/RookiePalmSpaceServer
日常开销登记平台工程money-record
个人网站工程mine


日期 				变更情况
20170320.1			mine-core工程，添加数据库分页插件
20170318.1			mine-client工程，工具函数模块-开发完成点击超链接弹出函数详情功能
20170317.1			mine工程架构升级，采用SpringBoot+thymeleaf的架构开发，新工程为mine-client, 原工程mine废弃
20170305.1			mine工程删除可有可无的模块,保留工具函数、IT学习模块
20170218.2			新增java的fork-join框架测试工程
20170218.1			mine网站后台工程-项目启动模块-框架搭建(未完待续),mine-网站后台工程-新增IT资讯模块
20170215.1			mine网站后台工程-项目启动模块-新增页面junit测试启动类
20170124.3			mine网站前端工程-工具函数模块-新增页面utilfunction_detail.jsp
20170124.2			mine网站前端工程-工具函数模块-与服务端打通数据传输通道，并将数据展示在界面上
20170124.1			mine网站后台服务端工程的核心配置模块mine-core加入数据库配置MyBatisConfig
20170121.1			mine网站工程增加模块-功能函数，服务端增加业务模块mine-utilfunction
20170115.3			mine网站工程主界面删除测试跨域提交的按钮
20170115.2			mine工程增加与数据库交互的配置，mine网站-移动开发模块展示图设置
20170115.1			删除mine-server工程, 重新构建后台服务端架构，开始采用模块化管理方式，新增mine-starter启动模块、mine-core核心配置管理模块、mine-login登录业务处理模块
20170113.1			新增mine-server工程,用于独立为mine前端工程提供后台数据访问,并在mine工程main.jsp页面中增加了跨域请求的测试按钮
20170108.2			mine工程-三个子模块-网站开发、桌面程序、联系我，添加展示信息
20170108.1       		新增项目包mine.war
